VORP,PER,WS,FT,BPM,Rk_Conference,USG%,Trp Dbl,AST,2P%
0.7,12.3,4.0,0.6,-0.6,13.0,12.6,0.0,4.1,0.496
5.7,22.2,11.6,5.2,5.8,2.0,26.1,0.0129870129870129,6.4,0.461
-0.2,11.8,0.9,0.7,-2.6,9.0,22.9,0.0,2.6,0.43
1.6,17.7,4.7,5.3,1.3,15.0,22.8,0.0,2.5,0.464
2.5,15.8,7.3,2.7,2.2,4.0,18.5,0.0,1.8,0.529
0.2,11.9,2.7,1.9,-1.6,6.0,18.4,0.0125,3.6,0.463
-0.8,9.4,0.5,1.7,-3.8,11.0,19.7,0.0,1.9,0.456
1.2,12.4,5.3,2.4,-0.3,8.0,18.2,0.0,1.8,0.489
1.6,18.7,6.7,1.4,1.9,5.0,12.7,0.0,1.1,0.611
3.3,18.3,8.9,4.9,2.6,9.0,25.7,0.0,3.7,0.477
